timestamp_utc,city,target_date,ecmwf_max_c,gfs_max_c,icon_max_c,predicted_bucket,polymarket_price,all_bucket_prices,snapshot_id,lead_time_hours,model_spread_c,abs_model_spread_c,ecmwf_run_utc,gfs_run_utc,market_implied_temp_c,market_implied_temp_used_open_bucket_approx,market_vs_ecmwf_c,market_vs_gfs_c,ecmwf_bucket,ecmwf_bucket_probability,gfs_bucket,gfs_bucket_probability,icon_bucket,icon_bucket_probability,market_modal_bucket,market_modal_bucket_price,ecmwf_change_c,gfs_change_c,icon_change_c,market_implied_change_c,data_quality
2026-08-16 13:23:04,Shanghai,2026-08-16,30.3,28.4,29.9,30°C,0.0005,"{""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.9995, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005}",6e128668,-21.38,1.9,1.9,,,29.01,True,-1.29,0.61,30°C,0.0005,28°C,0.0005,30°C,0.0005,29°C,0.9995,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Qingdao,2026-08-16,32.6,31.6,31.6,33°C,0.9995,"{""26°C or below"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.9995, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C or higher"": 0.0005}",6e128668,-21.38,1.0,1.0,,,32.99,True,0.39,1.39,33°C,0.9995,32°C,0.0005,32°C,0.0005,33°C,0.9995,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Seoul,2026-08-16,27.9,27.2,26.6,28°C,0.001,"{""22°C or below"": 0.0005, ""23°C"": 0.0005, ""24°C"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.999, ""28°C"": 0.001, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C or higher"": 0.0005}",6e128668,-22.38,0.7,0.7,,,27.0,True,-0.9,-0.2,28°C,0.001,27°C,0.999,27°C,0.999,27°C,0.999,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Guangzhou,2026-08-16,33.7,36.4,34.3,34°C,0.0005,"{""29°C or below"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C"": 0.0005, ""37°C"": 0.9995, ""38°C"": 0.0005, ""39°C or higher"": 0.0005}",6e128668,-21.38,-2.7,2.7,,,36.98,True,3.28,0.58,34°C,0.0005,36°C,0.0005,34°C,0.0005,37°C,0.9995,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Shenzhen,2026-08-16,32.3,35.0,32.2,32°C,0.0005,"{""27°C or below"": 0.0005, ""28°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.9995, ""36°C"": 0.0005, ""37°C or higher"": 0.0005}",6e128668,-21.38,-2.7,2.7,,,34.98,True,2.68,-0.02,32°C,0.0005,35°C,0.9995,32°C,0.0005,35°C,0.9995,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,New York,2026-08-16,27.3,27.9,26.1,80-81°F,0.47,"{""72-73°F"": 0.0005, ""74-75°F"": 0.0005, ""82-83°F"": 0.3, ""86-87°F"": 0.0025, ""90°F or higher"": 0.0005, ""71°F or below"": 0.0005, ""76-77°F"": 0.045, ""78-79°F"": 0.22, ""80-81°F"": 0.47, ""84-85°F"": 0.015, ""88-89°F"": 0.0015}",6e128668,-9.38,-0.6,0.6,,,26.98,True,-0.32,-0.92,80-81°F,0.47,82-83°F,0.3,78-79°F,0.22,80-81°F,0.47,0.0,-0.1,0.0,-0.08,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Chicago,2026-08-16,29.1,28.0,29.9,84-85°F,0.235,"{""77°F or below"": 0.0005, ""78-79°F"": 0.0015, ""80-81°F"": 0.005, ""82-83°F"": 0.015, ""84-85°F"": 0.235, ""86-87°F"": 0.67, ""88-89°F"": 0.095, ""90-91°F"": 0.015, ""92-93°F"": 0.0025, ""94-95°F"": 0.0005, ""96°F or higher"": 0.0005}",6e128668,-8.38,1.1,1.1,,,30.12,True,1.02,2.12,84-85°F,0.235,82-83°F,0.015,86-87°F,0.67,86-87°F,0.67,0.0,-0.4,0.0,0.01,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Miami,2026-08-16,32.9,32.9,33.0,90-91°F,0.011,"{""100-101°F"": 0.0015, ""102-103°F"": 0.0005, ""104°F or higher"": 0.0005, ""85°F or below"": 0.0005, ""86-87°F"": 0.0005, ""88-89°F"": 0.0105, ""90-91°F"": 0.011, ""92-93°F"": 0.67, ""94-95°F"": 0.29, ""96-97°F"": 0.02, ""98-99°F"": 0.0055}",6e128668,-9.38,0.0,0.0,,,33.97,True,1.07,1.07,90-91°F,0.011,90-91°F,0.011,90-91°F,0.011,92-93°F,0.67,0.0,0.2,0.0,0.01,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,London,2026-08-16,22.3,24.1,26.0,23°C or below,0.0005,"{""23°C or below"": 0.0005, ""24°C"": 0.0005, ""25°C"": 0.205, ""26°C"": 0.59, ""27°C"": 0.165, ""28°C"": 0.015, ""29°C"": 0.0015, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C or higher"": 0.0005}",6e128668,-14.38,-1.8,1.8,,,26.0,True,3.7,1.9,23°C or below,0.0005,24°C,0.0005,26°C,0.59,26°C,0.59,0.0,0.0,0.0,0.37,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Paris,2026-08-16,29.2,32.7,31.4,29°C,0.0005,"{""30°C"": 0.14, ""31°C"": 0.705, ""32°C"": 0.188, ""33°C"": 0.0065, ""34°C"": 0.0005, ""35°C or higher"": 0.0005, ""29°C"": 0.0005, ""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005}",6e128668,-15.38,-3.5,3.5,,,31.05,True,1.85,-1.65,29°C,0.0005,33°C,0.0065,31°C,0.705,31°C,0.705,0.0,0.0,0.0,-0.07,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
